x y z rgb
-88.287407 -176.00526 835.34528 4278651399
-87.769844 -175.97449 835.27136 4278716680
-87.323097 -175.95937 835.16699 4278716679
-86.804161 -175.92191 835.06689 4278651143
-86.357864 -175.91222 834.97809 4278585350
-85.833557 -175.86018 834.80981 4278519558
-85.388718 -175.8441 834.73242 4278519301
-84.874626 -175.82494 834.63867 4278453509
-84.424248 -175.80576 834.54889 4278387715
-93.171524 -175.70705 836.68475 4278848520
-92.673615 -175.80101 836.54443 4278782728
-92.188911 -175.63893 836.38025 4278782728
-91.690681 -175.72765 836.21155 4278782728
-91.194084 -175.53732 835.93842 4278782984
-90.68689 -175.60678 835.68311 4278782985
-90.197639 -175.43457 835.46857 4278848777
-89.697548 -175.52254 835.2832 4278914571
-89.217529 -175.36777 835.14545 4278980107
-88.725082 -175.46921 835.03534 4278783242
-88.252617 -175.32382 834.95886 4278717449
-87.765106 -175.43394 834.89569 4278717192
-87.292709 -175.28635 834.81635 4278717192
-86.805634 -175.39325 834.75464 4278717192
-86.335388 -175.25003 834.69226 4278651399
-85.843109 -175.3537 834.58203 4278585607
-85.369659 -175.19949 834.4837 4278585351
-84.881775 -175.2933 834.41577 4278519558
-84.411453 -175.17012 834.34796 4278519301
-83.928185 -175.27904 834.31433 4278387716
-93.112839 -175.29024 836.52972 4278914313
-92.615425 -175.2813 836.3877 4278848520
-92.158882 -175.25182 836.22552 4278782985
-91.631348 -175.20645 836.04437 4278848777
-91.165665 -175.1532 835.76318 4278914313
-90.624252 -175.08073 835.48145 4278914570
-90.164284 -175.03856 835.24872 4278914570
-89.631142 -174.98161 835.0365 4278980363
-89.179726 -174.96121 834.88477 4278980364
-88.656235 -174.92825 834.7558 4278980364
-88.211922 -174.91742 834.66949 4278914571
-87.695717 -174.88928 834.60333 4278848779
-87.253265 -174.87914 834.53552 4278848778
-86.740128 -174.85394 834.49274 4278848522
-86.300606 -174.85378 834.45471 4278782728
-85.784355 -174.82288 834.3775 4278716936
-85.341629 -174.81281 834.31183 4278651143
-84.82682 -174.78641 834.23798 4278651143
-84.38501 -174.78139 834.19257 4278585351
-83.873795 -174.76868 834.16449 4278519301
-83.433304 -174.76266 834.10876 4278387972
-92.631531 -174.77737 836.21161 4278914313
-92.14698 -174.6152 836.04468 4278914313
-91.647675 -174.70332 835.85828 4278980106
-91.159348 -174.53018 835.6579 4278980362
-90.647438 -174.59171 835.35913 4279111435
-90.15226 -174.4046 835.08551 4279046155
-89.647186 -174.47758 834.85309 4279111948
-89.162613 -174.31262 834.66797 4279111949
-88.665726 -174.40921 834.51501 4279111950
-88.189995 -174.26118 834.40234 4279111950
-87.700615 -174.36562 834.31958 4278980621
-87.229141 -174.21823 834.24451 4279046157
-86.743965 -174.33063 834.19977 4278980620
-86.277573 -174.19749 834.17053 4278849034
-85.791985 -174.31042 834.12482 4278783241
-85.325226 -174.16983 834.08679 4278717449
-84.840347 -174.28113 834.04694 4278651657
-84.368988 -174.14046 833.9621 4278716936
-83.893852 -174.27094 834.01715 4278585351
-83.430351 -174.12437 834.00153 4278519558
-82.945541 -174.26314 833.97699 4278453765
-82.49234 -174.13603 834.02747 4278322179
-92.113121 -174.21851 835.83966 4278914569
-91.584381 -174.17258 835.65381 4278980362
-91.129883 -174.14021 835.46747 4279046155
-90.597649 -174.08876 835.27319 4279111948
-90.13195 -174.03603 834.98627 4279111948
-89.593811 -173.9666 834.72803 4279177741
-89.137535 -173.93181 834.52698 4279243534
-88.609032 -173.88844 834.34937 4279243792
-88.160507 -173.87233 834.21808 4279309585
-87.64064 -173.84006 834.11621 4279243793
-87.196327 -173.82686 834.02783 4279309328
-86.682228 -173.80058 833.97552 4279112462
-86.242836 -173.80083 833.93512 4278980876
-85.731003 -173.78142 833.90198 4278914827
-85.293564 -173.77969 833.87976 4278849291
-84.78231 -173.75771 833.85211 4278783498
-84.341049 -173.75391 833.7915 4278782986
-83.831337 -173.74139 833.77319 4278782729
-83.3927 -173.73795 833.74371 4278651144
-82.883118 -173.72859 833.71698 4278519558
-82.445045 -173.72833 833.69305 4278453765
-92.122108 -173.62335 835.85376 4278914568
-91.622169 -173.70976 835.66577 4279045897
-91.134422 -173.53819 835.46405 4279177483
-90.632401 -173.6181 835.25818 4279177740
-90.133003 -173.4248 834.94678 4279243533
-89.623444 -173.49063 834.67035 4279243790
-89.13414 -173.31572 834.44037 4279309583
-88.63295 -173.40018 834.24152 4279375634
-88.152313 -173.24319 834.08209 4279506963
-87.658875 -173.34035 833.95911 4279441171
-87.184319 -173.18771 833.85144 4279441170
-86.69696 -173.2973 833.78467 4279309585
-86.228584 -173.15991 833.73462 4279178255
-85.743881 -173.27412 833.69427 4279112206
-85.279106 -173.14032 833.67194 4279046669
-84.796585 -173.25838 833.65466 4278980876
-84.33036 -173.12138 833.61505 4278849291
-83.850914 -173.24678 833.63184 4278783242
-83.382439 -173.09967 833.56476 4278782729
-82.899803 -173.2224 833.55127 4278651400
-82.438568 -173.09007 833.54462 4278519814
-81.954063 -173.21228 833.51813 4278453765
-81.49292 -173.08046 833.49799 4278387716
-70.498016 -176.34514 849.55969 4278255873
-68.739799 -175.42223 844.8606 4278321666
-68.032822 -174.8725 842.48828 4278321922
-67.93631 -175.80455 846.75879 4278321922
-67.062691 -176.01068 847.80481 4278321922
-66.634697 -175.93954 848.03479 4278321922
-92.119652 -173.28241 835.88751 4278914825
-91.582489 -173.22408 835.67786 4279046153
-91.126205 -173.1893 835.47559 4279111947
-90.591209 -173.12816 835.25336 4279243532
-90.122574 -173.07217 834.93805 4279309325
-89.58075 -173.00063 834.64526 4279309581
-89.120872 -172.96004 834.40631 4279309839
-88.587555 -172.90448 834.18402 4279441426
-88.134438 -172.87633 834.00739 4279573014
-87.609604 -172.83458 833.85883 4279507733
-87.161545 -172.81476 833.73267 4279507477
-86.643845 -172.784 833.64545 4279375634
-86.201698 -172.78001 833.57739 4279244305
-85.688889 -172.75873 833.52899 4279244048
-85.250313 -172.75407 833.49573 4279243791
-84.739998 -172.73396 833.46948 4279112462
-84.301559 -172.73921 833.43921 4278980877
-83.793999 -172.72678 833.43701 4278914828
-83.352722 -172.71968 833.38397 4278783243
-82.846275 -172.7095 833.38654 4278782730
-82.404579 -172.70119 833.33105 4278651144
-81.897293 -172.67317 833.30573 4278585351
-81.456711 -172.69011 833.28442 4278519558
-80.952652 -172.66864 833.26379 4278387972
-70.053474 -174.61333 843.45477 4278256129
-69.496468 -174.48256 842.86877 4278321666
-68.99675 -174.48853 842.18829 4278321666
-68.450195 -174.37086 841.67584 4278321923
-67.954727 -174.25302 841.08447 4278387459
-67.397835 -174.12132 840.42609 4278387715
-66.935982 -174.08913 840.22186 4278387715
-66.413315 -174.03062 839.99335 4278387715
-65.954773 -173.99876 839.80945 4278387715
-92.129265 -172.69148 835.93805 4278980361
-91.625137 -172.77124 835.73792 4279045897
-91.136909 -172.59952 835.52911 4279111946
-90.6325 -172.67462 835.30304 4279243274
-90.131996 -172.48117 834.97803 4279243787
-89.619354 -172.54161 834.6745 4279375117
-89.127487 -172.36156 834.41687 4279375375
-88.622513 -172.4371 834.18121 4279375890
-88.137581 -172.2688 833.97894 4279769877
-87.639709 -172.35857 833.81354 4279573014
-87.160904 -172.20061 833.66229 4279507476
-86.669495 -172.30173 833.55634 4279375634
-86.19722 -172.1582 833.46777 4279309841
-85.709999 -172.26767 833.40045 4279375377
-85.242599 -172.12704 833.35217 4279375377
-84.75724 -172.23759 833.30444 4279309585
-84.291458 -172.10313 833.26825 4279244048
-83.808556 -172.22374 833.24884 4279046671
-83.342735 -172.0869 833.20709 4278915085
-82.862427 -172.2077 833.21368 4278849035
-82.398003 -172.07391 833.18488 4278717450
-81.918121 -172.19954 833.19482 4278651400
-81.458519 -172.07045 833.20013 4278585351
-80.976929 -172.20164 833.20538 4278519558
-80.518883 -172.07332 833.20367 4278453509
-70.917442 -173.90962 842.23492 4278256129
-70.387032 -173.93515 841.75647 4278256130
-69.912178 -173.77945 841.60028 4278321666
-69.399651 -173.84003 841.32129 4278321922
-68.90213 -173.61259 840.89764 4278387459
-68.388077 -173.6743 840.56873 4278387715
-67.874359 -173.45636 840.15332 4278387715
-67.365723 -173.49246 839.6795 4278387716
-66.870476 -173.27086 839.24158 4278453508
-66.351067 -173.31607 838.8479 4278453508
-65.867729 -173.12437 838.54803 4278453508
-65.357246 -173.20166 838.28723 4278453509
-64.88372 -173.02925 838.08032 4278453508
-91.565689 -172.24911 835.5542 4279045897
-91.111832 -172.21881 835.38239 4279046153
-90.581635 -172.16803 835.19464 4279177738
-90.127701 -172.13989 835.02112 4279243787
-89.584038 -172.0659 834.70886 4279440909
-89.122124 -172.0211 834.453 4279441166
-88.585457 -171.95679 834.20288 4279441424
-88.128838 -171.91971 833.99091 4279638548
-87.599419 -171.87082 833.80109 4279573013
-87.147316 -171.84616 833.63428 4279507221
-86.625092 -171.80838 833.50403 4279441427
-86.179008 -171.79427 833.39594 4279375634
-85.661942 -171.76489 833.30737 4279375377
-85.220505 -171.75626 833.24176 4279309841
-84.706421 -171.72827 833.17908 4279375634
-84.266846 -171.72607 833.13336 4279441170
-83.756859 -171.71149 833.10657 4279244305
-83.317551 -171.71304 833.07019 4279112463
-82.811821 -171.69937 833.0788 4278980621
-82.373611 -171.70154 833.05878 4278849035
-81.869858 -171.69254 833.07745 4278782986
-81.429947 -171.69377 833.04523 4278651657
-80.924889 -171.67424 833.04095 4278651144
-80.487289 -171.69014 833.0282 4278585351
-79.979424 -171.66946 833.02216 4278453765
-72.028992 -173.98935 844.29718 4278255873
-71.383766 -173.64581 842.6897 4278321666
-70.927971 -173.62318 842.51929 4278321666
-70.347084 -173.43872 841.672 4278321922
-69.875809 -173.3756 841.34155 4278387459
-69.324463 -173.24808 840.81854 4278387715
-68.851555 -173.1814 840.46301 4278387715
-68.314484 -173.09364 840.07471 4278387715
-67.840759 -173.02722 839.71405 4278453508
-67.30246 -172.93214 839.29651 4278453508
-66.827408 -172.85674 838.90521 4278453764
-66.292679 -172.76555 838.52179 4278519301
-65.816093 -172.68669 838.09882 4278519301
-65.276062 -172.57449 837.64105 4278519301
-64.812523 -172.52472 837.3822 4278519301
-64.287811 -172.46758 837.1059 4278519301
-63.830326 -172.43762 836.92609 4278519301
-91.603493 -171.78821 835.58765 4279111433
-91.121368 -171.62794 835.41876 4279046153
-90.622238 -171.71199 835.24591 4279177737
-90.139275 -171.55511 835.08087 4279243786
-89.626648 -171.61574 834.77728 4279440908
-89.1343 -171.43423 834.51886 4279441421
-88.628036 -171.50404 834.26807 4279441423
-88.139473 -171.32843 834.03534 4279441681
-87.638412 -171.41238 833.83569 4279441426
-87.154579 -171.24751 833.64062 4279638293
-86.658836 -171.34122 833.4906 4279441685
-86.181511 -171.18747 833.35474 4279506963
-85.69014 -171.28589 833.24463 4279441170
-85.218651 -171.13879 833.15723 4279375634
-84.729538 -171.24336 833.07147 4279375634
-84.261261 -171.10242 833.008 4279441682
-83.775284 -171.21501 832.95569 4279441427
-83.309944 -171.08174 832.91461 4279375378
-82.82785 -171.20418 832.90509 4279243536
-82.365402 -171.07465 832.89343 4279046414
-81.88649 -171.19945 832.91302 4278914828
-81.424706 -171.0666 832.90216 4278848779
-80.944183 -171.19083 832.91089 4278717193
-80.477013 -171.04597 832.83301 4278651400
-79.992661 -171.14565 832.79968 4278519815
-79.526878 -171.02711 832.7522 4278519301
-79.041115 -171.12621 832.68243 4278387715
-72.436005 -173.27423 843.49365 4278255873
-71.975807 -173.21834 843.52502 4278256129
-71.410416 -173.09273 842.64343 4278321922
-70.923508 -172.96964 842.34552 4278387459
-70.348534 -172.89192 841.33722 4278387715
-69.845512 -172.66013 840.84119 4278387715
-69.309006 -172.6666 840.26581 4278453507
-68.810623 -172.44336 839.81677 4278453508
-68.290176 -172.49036 839.41681 4278453508
-67.796196 -172.27728 839.00671 4278453764
-67.279808 -172.33101 838.65503 4278453764
-66.790817 -172.12302 838.28174 4278519301
-66.277435 -172.18259 837.96106 4278519557
-65.789337 -171.97719 837.5885 4278519557
-65.274979 -172.03633 837.25897 4278585094
-64.791039 -171.83623 836.91931 4278585094
-64.276466 -171.88663 836.57745 4278585094
-63.807865 -171.73415 836.41779 4278585094
-63.303703 -171.81873 836.23737 4278519558
-62.838905 -171.66269 836.09949 4278519558
-91.570244 -171.3147 835.61664 4279111689
-91.11573 -171.28546 835.45618 4279111689
-90.58902 -171.24739 835.28601 4279177737
-90.136597 -171.21353 835.1344 4279243785
-89.59288 -171.14188 834.8338 4279375371
-89.132919 -171.10057 834.58875 4279506956
-88.595589 -171.03461 834.33521 4279507214
-88.136429 -170.99187 834.10077 4279572751
-87.604462 -170.93666 833.88251 4279441681
-87.147568 -170.90381 833.6731 4279507220
-86.620712 -170.86017 833.49774 4279441683
-86.169807 -170.83595 833.34314 4279441427
-85.648132 -170.79483 833.2077 4279506963
-85.202545 -170.77919 833.1037 4279441427
-84.684486 -170.74533 832.9989 4279375890
-84.241325 -170.73541 832.91998 4279441682
-83.727249 -170.7108 832.84918 4279441683
-83.286263 -170.70891 832.79425 4279506964
-82.777084 -170.69299 832.76764 4279441171
-82.340141 -170.69937 832.75641 4279309328
-81.835678 -170.69098 832.77393 4279046670
-81.399284 -170.69279 832.76825 4278914828
-80.895828 -170.68182 832.79266 4278848779
-80.454727 -170.68073 832.73779 4278782729
-79.95089 -170.6655 832.75586 4278651400
-79.512535 -170.65822 832.74554 4278519815
-79.005684 -170.65523 832.7121 4278453765
-78.564011 -170.65347 832.68396 4278387716
-73.084572 -173.62697 847.2085 4278255873
-71.976585 -172.91197 843.73065 4278321666
-71.337929 -172.58023 842.18048 4278387458
-70.86512 -172.51352 841.83716 4278387715
-70.288391 -172.33273 841.00098 4278453251
-69.799004 -172.23274 840.47131 4278453508
-69.239334 -172.088 839.81854 4278453508
-68.759224 -172.00507 839.38184 4278453765
-68.216713 -171.90385 838.92462 4278519301
-67.742607 -171.83308 838.5401 4278519557
-67.208725 -171.74641 838.17596 4278585094
-66.738647 -171.68269 837.83447 4278585094
-66.210892 -171.61034 837.53119 4278585350
-65.742645 -171.55133 837.20984 4278585350
-65.217728 -171.48125 836.92694 4278585350
-64.752441 -171.42891 836.64337 4278585350
-64.227524 -171.3602 836.34918 4278585351
-63.765778 -171.31535 836.10638 4278651143
-63.243557 -171.24471 835.82025 4278651143
-62.782761 -171.20767 835.59369 4278651143
-62.264832 -171.14659 835.36395 4278650887
-61.810997 -171.11952 835.22095 4278519558
-61.301838 -171.09505 835.11548 4278519301
-60.850197 -171.0761 834.99365 4278453508
-91.108765 -170.66254 835.33063 4279177481
-90.61451 -170.75848 835.2077 4279243273
-90.135292 -170.61066 835.07672 4279243785
-89.637657 -170.6945 834.91284 4279440906
-89.147247 -170.5168 834.67303 4279441419
-88.641342 -170.59073 834.42828 4279573005
-88.151505 -170.40848 834.18384 4279441678
-87.647842 -170.48781 833.9599 4279375887
-87.159317 -170.31665 833.72205 4279507217
-86.659142 -170.3999 833.5304 4279441426
-86.176865 -170.23518 833.34656 4279441426
-85.681137 -170.32697 833.1936 4279506963
-85.205544 -170.1738 833.06665 4279506963
-84.712776 -170.26987 832.94373 4279375890
-84.241066 -170.12257 832.8457 4279310354
-83.751419 -170.22787 832.75409 4279375890
-83.282898 -170.08722 832.68164 4279572756
-82.797096 -170.19991 832.63232 4279572500
-82.332993 -170.06816 832.60236 4279506963
-81.851685 -170.19125 832.59644 4279309585
