x y z rgb
132.74841 -121.21973 827.99597 4279177485
133.28842 -121.31248 827.87292 4279243278
133.66544 -121.20355 827.87921 4279243277
134.24045 -121.32706 827.97693 4279243022
131.8652 -120.81913 827.76471 4279111692
132.2498 -120.78201 827.44403 4279177484
132.71391 -120.74996 827.22107 4279177741
133.13464 -120.74392 827.13147 4279177997
133.63884 -120.74097 827.16223 4279177998
134.09145 -120.76254 827.26923 4279177998
134.63194 -120.79214 827.51849 4279309071
135.12318 -120.84422 827.85663 4279243278
130.83972 -120.24546 827.78668 4278914569
131.32404 -120.28741 827.32062 4279177228
131.64061 -120.1217 826.94025 4279243020
132.15094 -120.19179 826.64026 4279243020
132.49718 -120.06033 826.45648 4279177484
133.0416 -120.1552 826.36957 4279177740
133.42018 -120.04986 826.38855 4279112204
133.99541 -120.17625 826.49762 4279177741
134.40599 -120.09671 826.70898 4279309069
135.02036 -120.25828 827.04156 4279374349
135.44791 -120.19576 827.36646 4279243277
136.04964 -120.34297 827.61761 4279111949
136.45399 -120.25275 827.7804 4278980107
137.02896 -120.37966 827.87964 4278848265
137.43501 -120.25479 827.94513 4278650887
130.01485 -119.90772 827.92792 4278651142
130.40067 -119.86517 827.60297 4278782984
130.81432 -119.78192 827.06659 4279045898
131.17995 -119.72321 826.62109 4279111948
131.62201 -119.66808 826.26746 4279177485
132.01633 -119.63798 826.01074 4279177484
132.48613 -119.61028 825.83118 4279111691
132.91129 -119.6092 825.77185 4279111691
133.414 -119.60806 825.79852 4279046155
133.86583 -119.62961 825.90625 4279111947
134.40245 -119.65781 826.13934 4279177484
134.8887 -119.70476 826.44873 4279243277
135.45172 -119.76063 826.83936 4279309070
135.94093 -119.81452 827.16681 4279177741
136.4796 -119.84428 827.40192 4279045901
136.9375 -119.87176 827.54614 4278914058
137.4592 -119.88149 827.66431 4278651143
128.93156 -119.27351 827.57581 4278453508
129.4417 -119.34353 827.26587 4278585093
129.77464 -119.19421 826.98969 4278716678
130.29102 -119.2662 826.72711 4278848520
130.59294 -119.08869 826.25592 4279045898
131.09142 -119.14499 825.88287 4279177228
131.42162 -118.99426 825.59515 4279177228
131.9411 -119.07024 825.35626 4279111692
132.29591 -118.94512 825.2312 4279045899
132.84552 -119.04823 825.17847 4278980362
133.22525 -118.9463 825.21124 4278980362
133.80284 -119.0742 825.33313 4278980618
134.20842 -118.99193 825.52313 4278980362
134.81544 -119.14417 825.81445 4279111691
135.23865 -119.07932 826.11438 4279243277
135.85568 -119.2388 826.46112 4279177999
136.25446 -119.14574 826.59875 4279177229
136.83456 -119.27566 826.72333 4278914058
137.22894 -119.1744 826.81659 4278716680
137.78166 -119.29501 826.82477 4278519557
128.93741 -118.8401 827.04535 4278453764
129.32309 -118.80136 826.71753 4278585349
129.77603 -118.75568 826.43854 4278716935
130.16664 -118.71826 826.14655 4278848520
130.59166 -118.6489 825.68829 4279045385
130.97217 -118.60538 825.34088 4279045899
131.4234 -118.5573 825.04938 4279111436
131.82556 -118.53244 824.84497 4279045899
132.30324 -118.51248 824.72064 4278980362
132.73209 -118.51614 824.68616 4278914570
133.23477 -118.5184 824.71735 4278914827
133.68826 -118.54164 824.83685 4278914570
134.21999 -118.56501 825.04077 4278980362
134.69722 -118.6096 825.30548 4279111435
135.25363 -118.65557 825.65497 4279177484
135.74548 -118.71095 826.00513 4279177997
136.29819 -118.75151 826.32764 4279177486
136.76021 -118.78705 826.50208 4278980107
137.28722 -118.80201 826.65845 4278716937
137.73805 -118.82697 826.7757 4278519558
128.28313 -118.20383 825.86823 4278453508
128.71487 -118.14171 826.20831 4278453764
129.217 -118.20415 825.85834 4278650885
129.56207 -118.06668 825.66595 4278716935
130.08992 -118.15066 825.47815 4278848520
130.39886 -117.98298 825.05707 4278914313
130.90535 -118.04571 824.7392 4278980107
131.24068 -117.90011 824.48901 4279111436
131.76785 -117.98418 824.30243 4278980363
132.12885 -117.86542 824.21851 4278849034
132.68233 -117.97375 824.1947 4278914571
133.06383 -117.87495 824.24017 4278980107
133.64276 -118.0024 824.37183 4278914570
134.04649 -117.9199 824.55402 4278914570
134.64951 -118.06853 824.8277 4278980362
135.06187 -117.99425 825.06323 4279046155
135.67838 -118.15417 825.4137 4279177742
136.07742 -118.06774 825.56531 4279243278
136.65308 -118.1852 825.65607 4279045644
137.06187 -118.11595 825.88104 4278782729
137.55867 -118.2012 825.77545 4278585350
128.2247 -117.71288 825.7005 4278453508
128.73981 -117.72521 825.80377 4278519556
129.12306 -117.68539 825.46893 4278650886
129.58871 -117.65051 825.27386 4278716679
129.98309 -117.6213 825.01147 4278848264
130.41493 -117.55913 824.59924 4278979849
130.8033 -117.52271 824.30658 4278980107
131.25949 -117.48008 824.05005 4278980107
131.66759 -117.46376 823.88678 4278914571
132.15025 -117.44918 823.7962 4278914570
132.58173 -117.45364 823.78058 4278914571
133.08588 -117.45513 823.8244 4278914571
133.53964 -117.48064 823.94781 4278980107
134.06912 -117.5042 824.14032 4278914570
134.54367 -117.54591 824.39197 4278980106
135.08893 -117.58153 824.6767 4279046155
135.57672 -117.63433 825.00842 4279177741
136.12738 -117.66991 825.31903 4279308558
136.58144 -117.69945 825.44885 4279111693
137.12202 -117.72775 825.69031 4278848266
137.50681 -117.74771 825.75317 4278585350
128.19948 -117.19196 825.35077 4278453508
128.57402 -117.08092 825.33063 4278519557
129.07877 -117.14535 825.00751 4278651142
129.42342 -117.00804 824.81122 4278782472
129.92975 -117.07353 824.49091 4278782985
130.24486 -116.91373 824.11163 4278848777
130.75624 -116.98349 823.82745 4278914570
131.09534 -116.84326 823.60516 4278914571
131.62714 -116.93117 823.45032 4278914571
131.99045 -116.81848 823.38507 4278914571
132.54558 -116.92566 823.37488 4278914827
132.92755 -116.82353 823.42694 4278914571
133.50648 -116.95267 823.55994 4278914570
133.90836 -116.87356 823.73468 4278849034
134.509 -117.01922 823.99713 4278914826
134.91649 -116.93948 824.20538 4279046156
135.53041 -117.09692 824.54413 4279112206
135.93633 -117.01781 824.73987 4279309070
136.50919 -117.13313 824.82709 4279177231
136.92496 -117.06956 825.08612 4278979851
137.31555 -117.16817 825.03021 4278585607
126.94286 -116.48569 823.47101 4278321922
127.67249 -116.44227 823.61102 4278387715
128.04114 -116.63374 824.53845 4278453508
128.57422 -116.64275 824.77148 4278585093
128.96489 -116.60883 824.48889 4278651142
129.45261 -116.5948 824.43689 4278782728
129.83249 -116.55415 824.08588 4278848521
130.27017 -116.50023 823.71234 4278914314
130.66338 -116.47039 823.45465 4278914570
131.12422 -116.43381 823.23004 4278914571
131.5369 -116.42256 823.09808 4278914571
132.02235 -116.40981 823.02844 4278914827
132.45511 -116.41488 823.02393 4278914827
132.96082 -116.41563 823.07971 4278914827
133.4146 -116.4418 823.20538 4278914570
133.94264 -116.46759 823.39301 4278849034
134.41489 -116.50732 823.63214 4278914826
134.95314 -116.53657 823.87787 4278980619
135.43639 -116.58456 824.18262 4279112205
135.98073 -116.61954 824.46136 4279374607
136.43358 -116.64048 824.57166 4279177743
136.96552 -116.6677 824.77917 4278979852
137.23494 -116.68314 824.84821 4278585607
127.55617 -116.0702 824.8183 4278322178
128.09389 -116.16527 824.69513 4278453764
128.45053 -116.038 824.57202 4278585350
128.96419 -116.11055 824.30597 4278716935
129.29759 -115.96463 824.03827 4278782729
129.79242 -116.0218 823.64856 4278848778
130.11346 -115.87049 823.3092 4278914571
130.62766 -115.94202 823.04657 4278914827
130.97165 -115.80788 822.85828 4278849291
131.50691 -115.89964 822.72778 4278914828
131.8718 -115.78741 822.6745 4278980620
132.42767 -115.89469 822.67303 4278980620
132.81111 -115.79537 822.73462 4278914827
133.39017 -115.92408 822.87231 4278914827
133.79198 -115.84472 823.04785 4278914827
134.39082 -115.99016 823.30292 4278980619
134.80118 -115.91344 823.52942 4279046412
135.41168 -116.06783 823.85168 4279177998
135.81592 -115.98905 824.04114 4279309327
136.39801 -116.1133 824.1842 4279243280
136.80322 -116.04021 824.38556 4279045644
